Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
5821978,"The Summer I Turned Pretty (Summer, #1)",Jenny Han,"Han, Jenny",,"=""1416968237""","=""9781416968238""",0,3.74,Simon & Schuster Books for Young Readers,Hardcover,276,2009,2009,2025/09/11,2025/09/11,,,read,,,,1,0
63266154,"Indira (Inspectora Indira Ramos, #3)",Santiago Díaz,"Díaz, Santiago",,"=""8418897821""","=""9788418897825""",0,4.19,Reservoir Books,Paperback,416,2023,2023,2025/08/29,2025/08/28,,,read,,,,1,0
33775602,The Cold War: A World History,Odd Arne Westad,"Westad, Odd Arne",,"=""0465054935""","=""9780465054930""",0,4.31,Basic Books,Hardcover,710,2017,2017,,2025/08/26,"to-read, históricos","to-read (#9), históricos (#2)",to-read,,,,0,0
17977013,El dinero - De dónde vino/ A dónde fue,John Kenneth Galbraith,"Galbraith, John Kenneth",,"=""""","=""""",0,3.96,Ediciones Orbis,Hardcover,362,1983,1975,,2025/08/26,"to-read, ensayo","to-read (#8), ensayo (#1)",to-read,,,,0,0
59455555,"Las otras niñas (Inspectora Indira Ramos, #2)",Santiago Díaz,"Díaz, Santiago",,"=""8418052651""","=""9788418052651""",0,4.21,RESERVOIR BOOKS,Paperback,432,2022,2022,2025/08/26,2025/08/24,,,read,,,,1,0
9328,The House of the Spirits,Isabel Allende,"Allende, Isabel",Magda Bogin,"=""0553383809""","=""9780553383805""",0,4.30,Dial Press Trade Paperback,Paperback,448,2005,1982,,2025/08/24,"to-read, clásicos","to-read (#7), clásicos (#6)",to-read,,,,0,0
23692271,Sapiens: A Brief History of Humankind,Yuval Noah Harari,"Harari, Yuval Noah",,"=""""","=""""",0,4.33,Vintage,Paperback,512,2015,2011,,2024/08/14,"to-read, históricos","to-read (#5), históricos (#1)",to-read,,,,0,0
19089,Middlemarch,George Eliot,"Eliot, George",Michel Faber,"=""0451529170""","=""9780451529176""",0,4.04,Signet,Mass Market Paperback,912,2003,1872,,2025/04/20,"to-read, clásicos","to-read (#6), clásicos (#5)",to-read,,,,0,0
1622,A Midsummer Night’s Dream,William Shakespeare,"Shakespeare, William","Barbara A. Mowat, Paul Werstine, Alan Durband, Roma Gill, Catherine Belsey, A.R. Braunmuller","=""0743477545""","=""9780743477543""",0,3.94,Simon & Schuster,Mass Market Paperback,298,2016,1595,,2023/08/06,"to-read, clásicos","to-read (#4), clásicos (#4)",to-read,,,,0,0
53835,The Age of Innocence,Edith Wharton,"Wharton, Edith",Maureen Howard,"=""159308143X""","=""9781593081430""",0,3.97,Barnes & Noble Classics,Paperback,293,2004,1920,,2023/08/06,"to-read, clásicos","to-read (#3), clásicos (#3)",to-read,,,,0,0
6826616,Memorias de África,Isak Dinesen,"Dinesen, Isak","Javier Alfaya, Barbara McShane","=""8447300102""","=""9788447300105""",0,3.91,RBA Editores,Hardcover,320,1992,1937,,2023/08/06,"to-read, clásicos","to-read (#2), clásicos (#2)",to-read,,,,0,0
91494,The Death of the Heart,Elizabeth Bowen,"Bowen, Elizabeth",,"=""0385720173""","=""9780385720175""",0,3.64,Anchor Books,Paperback,418,2000,1938,,2023/08/06,"to-read, clásicos","to-read (#1), clásicos (#1)",to-read,,,,0,0
56022281,"El buen padre (Inspectora Indira Ramos, #1)",Santiago Díaz,"Díaz, Santiago",,"=""8417910999""","=""9788417910990""",0,4.15,Reservoir Books,Paperback,416,2021,2021,2025/08/09,2025/07/29,,,read,,,,1,0
16143347,We Were Liars,E. Lockhart,"Lockhart, E.",,"=""0385741278""","=""9780385741279""",0,3.65,Delacorte Press,Paperback,320,2018,2014,2025/07/31,2025/07/30,,,read,,,,1,0
